Date,Time,Location,City,Province,No of Strike,Al-Qaeda,Taliban,Civilians Min,Civilians Max,Foreigners Min,Foreigners Max,Total Died Min,Total Died Mix,Injured Min,Injured Max,Women/Children,Special Mention (Site),Comments,References,Longitude,Latitude,Temperature(C),Temperature(F),Total Died Max,year,customDate
friday- october 15- 2010,23:45,aziz khel,north waziristan,fata,1,0,0,3,6,0,0,3,0.0,2,3,0,drone fired missiles at a compound,,http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1101075708&issue=np_lhe&date=20101016  http://news.yahoo.com/s/ap/20101016/ap_on_re_as/as_pakistan  express tribune 15-oct-2010/pbc-ext-15-oct-2010  dawn news 15-oct-2010/pbc-dwn-15-oct-2010,70.1455,32.9746,20.49,68.882,6,2010,2010-10-15
monday- october 18- 2010,,sunzali area of dattakhel,north waziristan,fata,1,0,0,3,6,0,4,6,0.0,1,5,0,a house and vehicle were destroyed,locals said some of them were from turkmenistan,http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1101078587&issue=np_lhe&date=20101019  http://news.yahoo.com/s/ap/20101018/ap_on_re_as/as_pakistan  http://www.bbc.co.uk/news/world-south-asia-11571471 dawn news 18-oct-2010/pbc-dwn-18-oct-2010 daily jang 18-djn-2010/pbc-ext-18-djn-2010,70.1455,32.9746,18.81,65.858,7,2010,2010-10-18
wednesday- october 27- 2010,3:30,spinwam. mir ali,north waziristan,fata,1,0,0,2,5,0,0,2,0.0,0,1,0,missile hit a house,,http://geo.tv/10-27-2010/73486.htm  http://news.yahoo.com/s/ap/20101027/ap_on_re_as/as_pakistan  http://edition.cnn.com/2010/world/asiapcf/10/27/pakistan.drone.attack/  dawn news 27-oct-2010/pbc-dwn-27-oct-2010  express tribune 27-oct-2010/pbc-ext-27-oct-2010,70.1455,32.9746,13.275,55.895,5,2010,2010-10-27
wednesday- october 27- 2010,14:45,degan of datta khel,north waziristan,fata,1,0,0,0,3,0,4,3,0.0,0,0,0,missile hit a car,,http://geo.tv/10-27-2010/73486.htm  http://news.yahoo.com/s/ap/20101027/ap_on_re_as/as_pakistan  http://edition.cnn.com/2010/world/asiapcf/10/27/pakistan.drone.attack/  dawn news 27-oct-2010/pbc-dwn-27-oct-2010  express tribune 27-oct-2010/pbc-ext-27-oct-2010,70.1455,32.9746,13.275,55.895,4,2010,2010-10-27
thursday- october 28- 2010,9:00,miranshah,north waziristan,fata,1,0,0,4,5,0,3,5,0.0,0,2,0,a house was attacked,,http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1101085953&issue=np_lhe&date=20101029  http://www.bbc.co.uk/news/world-south-asia-11641201  dawn news 28-oct-2010/pbc-dwn-28-oct-2010  express tribune 28-oct-2010/pbc-ext-28-oct-2010,70.1455,32.9746,13.355,56.039,7,2010,2010-10-28
monday- november 01- 2010,9:30,haider khel- mir ali,north waziristan,fata,1,0,0,5,6,0,0,5,0.0,0,0,0,missiles struck a house,house was a hub of local militants movement,http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1101089335&issue=np_lhe&date=20101102  http://geo.tv/11-1-2010/73689.htm  http://public.dawn.com/2010/11/01/four-killed-in-us-drone-strike-in-north-waziristan.html  http://www.bbc.co.uk/news/world-south-asia-11663490  daily jang 01-nov-2010/pbc-djn-01-nov-2010  express tribune 01-nov-2010/pbc-ext-01-nov-2010,70.1455,32.9746,14.045,57.281,6,2010,2010-11-01
wednesday- november 03- 2010,,anzer village near miranshah- eso khel village of mir ali- poikhel village of datta khel,north waziristan,fata,1,0,0,7,12,4,6,11,0.0,1,4,0,missiles attcked moveing vehiles,car was carrying arms and ammunition,http://thenews.com.pk/latest-news/4206.htm  http://www.cnn.com/2010/world/asiapcf/11/03/pakistan.violence/  http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1101090481&issue=np_lhe&date=20101104  daily jang 03-nov-2010/pbc-djn-03-nov-2010  dawn news 03-nov-2010/pbc-dwn-03-nov-2010,70.1455,32.9746,14.475,58.055,18,2010,2010-11-03
sunday- november 07- 2010,,dandi saidgai- miramshah,north waziristan,fata,1,0,0,5,9,0,0,5,0.0,0,0,0,car near a house was attacked,,,70.1455,32.9746,13.19,55.742,9,2010,2010-11-07
sunday- november 07- 2010,,datta khel- miramshah,north waziristan,fata,1,0,0,4,9,0,0,4,0.0,0,0,0,vehicle was attacked,,http://geo.tv/11-7-2010/74021.htm,70.1455,32.9746,13.19,55.742,9,2010,2010-11-07
thursday- november 11- 2010,,gulli khel in ghulam khan ,north waziristan,fata,1,0,0,6,8,0,0,6,0.0,5,6,0,missiles ht a millitant compound,,http://geo.tv/11-11-2010/74184.htm  http://www.cnn.com/2010/world/asiapcf/11/11/pakistan.drone.strike/  http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1101096809&issue=np_lhe&date=20101112  daily jang 11-nov-2010/pbc-djn-11-nov-2010  dawn news 11-nov-2010/pbc-dwn-11-nov-2010   express tribune 11-nov-2010/pbc-ext-11-nov-2010,70.1455,32.9746,12.24,54.032,8,2010,2010-11-11
saturday- november 13- 2010,,miranshah,north waziristan,fata,1,0,0,4,5,0,0,4,0.0,0,0,0,missiles were fired at a car,,http://geo.tv/11-13-2010/74273.htm  http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1101098676&issue=np_lhe&date=20101114  http://www.cnn.com/2010/world/asiapcf/11/13/pakistan.drone.strike/  dawn news 13-nov-2010/pbc-dwn-13-nov-2010,70.1455,32.9746,9.645,49.361,5,2010,2010-11-13
tuesday- november 16- 2010,9:00,ghulam khan ,north waziristan,fata,1,0,0,0,16,0,4,0,0.0,4,7,0,vehicles and two suspected compounds were targeted,,http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1101100903&issue=np_lhe&date=20101117  http://geo.tv/11-16-2010/74376.htm  http://www.dawn.com/2010/11/16/us-drone-strike-kills-seven-in-north-waziristan.html  http://edition.cnn.com/2010/world/asiapcf/11/16/pakistan.drone.strike/  daily jang 16-nov-2010/pbc-djn-16-nov-2010,70.1455,32.9746,9.64,49.352,20,2010,2010-11-16
friday- november 19- 2010,12:00,naurak village- 15 km east of miranshah,north waziristan,fata,1,0,0,3,4,0,0,3,0.0,0,2,0,missiles destroyed a moving vehicle,,http://www.dawn.com/2010/11/19/three-killed-in-north-waziristan-drone-strike.html  http://news.yahoo.com/s/ap/20101119/ap_on_re_as/as_pakistan  http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1101101385&issue=np_lhe&date=20101120  http://www.cnn.com/2010/world/asiapcf/11/19/pakistan.drone.strike/,70.1455,32.9746,10.02,50.036,4,2010,2010-11-19
sunday- november 21- 2010,,khadi village,north waziristan,fata,1,0,0,5,9,0,0,5,0.0,0,4,0,drone fired missile at a car and motorcycle,obama administration has dramatically increased us drone strikes,http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1101103452&issue=np_lhe&date=20101122  http://geo.tv/11-21-2010/74579.htm  http://news.yahoo.com/s/ap/20101122/ap_on_re_as/as_pakistan  daily jang 21-nov-2010/pbc-djn-21-nov-2010  dawn news 21-nov-2010/pbc-dwn-21-nov-2010  express tribune 21-nov-2010/pbc-ext-21-nov-2010,70.1455,32.9746,9.525,49.145,9,2010,2010-11-21
monday- november 22- 2010,,khewsar village- miran shah,north waziristan,fata,1,0,0,4,6,0,0,4,0.0,0,4,0,missiles fied on a vehicle,,http://www.dailytimes.com.pk/default.asp?page=2010\11\23\story_23-11-2010_pg7_13  http://www.cnn.com/2010/world/asiapcf/11/22/pakistan.us.drones/  http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1101104334&issue=np_lhe&date=20101123   dawn news 22-nov-2010/pbc-dwn-22-nov-2010  express tribune 22-nov-2010/pbc-ext-22-nov-2010,70.1455,32.9746,8.435,47.183,6,2010,2010-11-22
friday- november 26- 2010,,pir kelay,north waziristan,fata,1,0,0,2,3,0,2,3,0.0,0,4,0,drones targeted a car,,http://geo.tv/11-26-2010/74875.htm  http://www.cnn.com/2010/world/asiapcf/11/26/pakistan.drone.strikes/  http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1101107306&issue=np_lhe&date=20101127   daily jang 26-nov-2010/pbc-djn-26-nov-2010  dawn news 26-nov-2010/pbc-dwn-26-nov-2010  express tribune 26-nov-2010/pbc-ext-26-nov-2010,70.1455,32.9746,8.01,46.418,4,2010,2010-11-26
sunday- november 28- 2010,,hasaan khel- 30 km east of miran shah,north waziristan,fata,1,0,0,3,4,0,0,3,0.0,0,0,0,it targeted a vehicle travling in northwestern,,http://geo.tv/11-28-2010/74997.htm  http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1101109047&issue=np_lhe&date=20101129  http://www.cnn.com/2010/world/asiapcf/11/28/pakistan.drone.strike/  express tribune 28-nov-2010/pbc-ext-28-nov-2010,70.1455,32.9746,6.815,44.267,4,2010,2010-11-28
monday- december 06- 2010,,khushali turikhel,north waziristan,fata,1,0,0,5,7,0,0,5,0.0,0,3,0,targeted a house and a vehicle,,http://geo.tv/12-6-2010/75429.htm  http://www.cnn.com/2010/world/asiapcf/12/06/pakistan.drone.strike/  http://www.bbc.co.uk/news/world-south-asia-11933649  daily jang 06-dec-2010/pbc-djn-06-dec-2010  dawn news 06-dec-2010/pbc-dwn-06-dec-2010,70.1455,32.9746,5.08,41.144,7,2010,2010-12-06
friday- december 10- 2010,17:45,khadar khel,north waziristan,fata,1,0,0,0,4,0,0,0,0.0,0,0,0,targeted a car,,http://edition.cnn.com/2010/world/asiapcf/12/10/pakistan.drone.strike/   daily jang 10-dec-2010/pbc-djn-10-dec-2010  dawn news 10-dec-2010/pbc-dwn-10-dec-2010  express tribune 10-dec-2010/pbc-ext-10-dec-2010,70.1455,32.9746,6.135,43.043,4,2010,2010-12-10
tuesday- december 14- 2010,,spalga village- 15 km south of miranshah,north waziristan,fata,1,0,0,0,4,0,0,0,0.0,0,0,0,targeted a car,,http://geo.tv/12-14-2010/75792.htm  http://tribune.com.pk/story/89928/drone-strike-kills-4-in-north-waziristan-5/  http://news.yahoo.com/s/ap/20101214/ap_on_re_as/as_pakistan,70.1455,32.9746,7.24,45.032,4,2010,2010-12-14
thursday- december 16- 2010,,tirah valley ,khyber agency,fata,1,0,2,0,5,0,0,0,0.0,0,0,0,drone attacked tirah valley,swati taliban commander was also killed,http://www.dailytimes.com.pk/default.asp?page=2010\12\17\story_17-12-2010_pg7_3  http://news.yahoo.com/s/ap/20101216/ap_on_re_as/as_pakistan  http://www.thenews.com.pk/todaysprintdetail.aspx?id=21250&cat=2  daily jang 16-dec-2010/pbc-djn-16-dec-2010,71.1481,34.0983,10.745,51.341,7,2010,2010-12-16
friday- december 17- 2010,,tirah valley ,khyber agency,fata,4,0,0,21,50,0,0,21,0.0,0,0,0,targeted a training center,attacks are increased under the presidency of obama,http://edition.cnn.com/2010/world/asiapcf/12/17/pakistan.drone.strikes/?hpt=t2  http://www.bbc.co.uk/news/world-south-asia-12015959  dawn news 17-dec-2010/pbc-dwn-17-dec-2010  express tribune 17-dec-2010/pbc-ext-17-dec-2010,71.1481,34.0983,9.22,48.596,50,2010,2010-12-17
monday- december 27- 2010,10:00,shera tala/and  machikhel,north waziristan,fata,6,0,0,18,25,0,0,18,0.0,4,7,0,six missiles were fired at a vehicle,there were reports that zahid mandev and qari barkatullah may be killed,http://www.thenews.com.pk/todaysprintdetail.aspx?id=22771&cat=7&dt=12/29/2010  http://www.bbc.co.uk/news/world-south-asia-12081937  http://news.yahoo.com/s/ap/20101227/ap_on_re_as/as_pakistan  dawn news 27-dec-2010/pbc-dwn-27-dec-2010  express tribune 27-dec-2010/pbc-ext-27-dec-2010  daily jang 27-dec-2010/pbc-djn-27-dec-2010,70.1455,32.9746,3.085,37.553,25,2010,2010-12-27
tuesday- december 28- 2010,10:00,ghulam khan ,north waziristan,fata,1,0,0,5,22,0,0,5,0.0,0,8,0,2 vehicles were targeted,it was said that these people were from haqqaani group,http://geo.tv/12-28-2010/76479.htm  http://articles.cnn.com/2010-12-28/world/pakistan.drone.strike_1_drone-strikes-drone-attack-tribal-region?_s=pm:world  http://tribune.com.pk/story/95899/drone-strike-kills-five-militants/  http://news.yahoo.com/s/ap/20101228/ap_on_re_as/as_pakistan  dawn news 28-dec-2010/pbc-dwn-28-dec-2010  express tribune 28-dec-2010/pbc-ext-28-dec-2010  daily jang 28-dec-2010/pbc-djn-28-dec-2010,70.1455,32.9746,2.635,36.743,22,2010,2010-12-28
friday- december 31- 2010,23:30,ghulam khan ,north waziristan,fata,1,0,0,3,4,0,0,3,0.0,0,8,0,attacks targeted a vehicle,,http://geo.tv/12-31-2010/76625.htm  http://www.cnn.com/2010/world/asiapcf/12/31/pakistan.drone.strike/,70.1455,32.9746,4.345,39.821,4,2010,2010-12-31
saturday- january 01- 2011,7:30,madi khel,north waziristan,fata,1,0,0,6,9,0,0,6,0.0,0,5,0,vehicle and militants compound was targeted,,http://old.thenews.com.pk/02-01-2011/ethenews/t-3067.htm   http://www.nation.com.pk/pakistan-news-newspaper-daily-english-online/politics/02-jan-2011/drones-kill-19-on-first-day-of-2011  http://www.deccanherald.com/content/125365/suspected-us-drone-strike-kills.html  daily jang 01-jan-2011/pbc-djn-01-jan-2011,70.1455,32.9746,4.69,40.442,9,2011,2011-01-01
saturday- january 01- 2011,,gharghuski village nera naurak- in mirali,north waziristan,fata,1,0,0,5,11,0,0,5,0.0,2,8,0,,,http://old.thenews.com.pk/02-01-2011/ethenews/t-3067.htm   http://www.nation.com.pk/pakistan-news-newspaper-daily-english-online/politics/02-jan-2011/drones-kill-19-on-first-day-of-2011  daily jang 01-jan-2011/pbc-djn-01-jan-2011,70.1455,32.9746,4.69,40.442,11,2011,2011-01-01
saturday- january 01- 2011,,mohammad khel,north waziristan,fata,1,0,0,4,5,0,0,4,0.0,0,0,0,,,http://old.thenews.com.pk/02-01-2011/ethenews/t-3067.htm  http://www.nation.com.pk/pakistan-news-newspaper-daily-english-online/politics/02-jan-2011/drones-kill-19-on-first-day-of-2011  daily jang 01-jan-2011/pbc-djn-01-jan-2011,70.1455,32.9746,4.69,40.442,5,2011,2011-01-01
friday- january 07- 2011,,dattakhel,north waziristan,fata,1,0,0,4,6,0,0,4,0.0,0,4,0,believed to haven alqaida and taliban,residential compound and car have been targeted,http://www.dawn.com/2011/01/07/four-killed-in-north-waziristan-drone-strike-2.html  http://geo.tv/1-7-2011/76925.htm  http://www.polijam.com/index.php?option=com_content&view=article&id=49206:report-drone-strike-in-pakistan-kills-4&catid=54:world&itemid=53  http://www.presstv.ir/detail/159045.html  http://edition.cnn.com/2011/world/asiapcf/01/07/pakistan.drone.strike/  daily jang 07-jan-2011/pbc-djn-07-jan-2011,70.1455,32.9746,5.225,41.405,6,2011,2011-01-07
wednesday- january 12- 2011,9:30,haider khel- mir ali,north waziristan,fata,1,0,0,1,3,0,3,3,0.0,0,2,0,house owener was tribsman named azfar,there was haven alqaida and taliban,http://geo.tv/1-12-2011/77127.htm  http://edition.cnn.com/2011/world/asiapcf/01/12/pakistan.drone.attack/  http://www.bbc.co.uk/news/world-south-asia-12168901  dawn news 12-jan-2011/pbc-dwn-12-jan-2011  express tribune 12-jan-2011/pbc-ext-12-jan-2011  daily jang 12-jan-2011/pbc-djn-12-jan-2011,70.1455,32.9746,5.12,41.216,4,2011,2011-01-12
tuesday- january 18- 2011,23:00,dattakhel,north waziristan,fata,1,0,0,4,7,0,0,4,0.0,0,3,0,dattakhel is know to be dominated by fighters from group lead by hafiz gul bahadar,2 missiles were fired on a house,http://www.armytimes.com/news/2011/01/ap-pakistan-says-missile-strike-kills-4-militants-011811/  http://news.in.msn.com/international/article.aspx?cp-documentid=4814920  dawn news 18-jan-2011/pbc-dwn-18-jan-2011  express tribune 18-jan-2011/pbc-ext-18-jan-2011  daily jang 18-jan-2011/pbc-djn-18-jan-2011,70.1455,32.9746,3.15,37.67,7,2011,2011-01-18
sunday- january 23- 2011,,datta khel,north waziristan,fata,1,0,0,3,4,0,0,3,0.0,0,0,0,vehicle and outside house was destroyed,most of the localbusiness were shut down due to protest,http://geo.tv/1-23-2011/77547.htm  http://edition.cnn.com/2011/world/asiapcf/01/23/pakistan.drone.strike/  dawn news 23-jan-2011/pbc-dwn-23-jan-2011  express tribune 23-jan-2011/pbc-ext-23-jan-2011,70.1455,32.9746,2.275,36.095,4,2011,2011-01-23
sunday- january 23- 2011,,datta khel,north waziristan,fata,1,0,0,2,3,0,0,2,0.0,0,0,0,,,http://geo.tv/1-23-2011/77547.htm  http://edition.cnn.com/2011/world/asiapcf/01/23/pakistan.drone.strike/  dawn news 23-jan-2011/pbc-dwn-23-jan-2011  express tribune 23-jan-2011/pbc-ext-23-jan-2011,70.1455,32.9746,2.275,36.095,3,2011,2011-01-23
sunday- january 23- 2011,,mando khel,north waziristan,fata,1,0,0,0,6,0,0,0,0.0,0,3,0,,,http://edition.cnn.com/2011/world/asiapcf/01/23/pakistan.drone.strike/  dawn news 23-jan-2011/pbc-dwn-23-jan-2011  express tribune 23-jan-2011/pbc-ext-23-jan-2011,70.1455,32.9746,2.275,36.095,6,2011,2011-01-23
sunday- february 20- 2011,2:00,azam warsak,south waziristan,fata,1,0,0,5,6,0,0,5,0.0,0,0,0,target was a house used by militants,it was the first drone strike after the us consular raymond davis was arrested for allegedly killing two pakistani's in lahore,dawn news 20-feb-2011/pbc-dwn-20-feb-2011  express tribune 20-feb-2011/pbc-ext-20-feb-2011  daily jang 20-feb-2011/pbc-djn-20-feb-2011,69.9,33.0333,1.835,35.303,6,2011,2011-02-20
monday- february 21- 2011,23:15,tappi village- miranshah,north waziristan,fata,1,0,0,5,10,0,0,5,0.0,0,4,0,strike targeted militant compound,,dawn news 21-feb-2011/pbc-dwn-21-feb-2011  express tribune 21-feb-2011/pbc-ext-21-feb-2011,70.1455,32.9746,1.79,35.222,10,2011,2011-02-21
monday- february 21- 2011,,azamwarsak- west of wana,south waziristan,fata,1,0,0,0,7,0,0,0,0.0,0,0,0,missile targeted militant training center,,the new york times 21-feb-2011/pbc-tnt-21-feb-2011,69.9,33.0333,1.475,34.655,7,2011,2011-02-21
thursday- february 24- 2011,,danday darpa khel- 30km west of miranshah,north waziristan,fata,3,0,0,0,0,0,2,0,0.0,0,0,0,missile struck the car,turkmens militants were traveling in the vehicle,http://www.bbc.co.uk/news/world-south-asia-12571875,70.1455,32.9746,3.325,37.985,2,2011,2011-02-24
thursday- february 24- 2011,,data khel,north waziristan,fata,3,0,0,3,5,0,0,3,0.0,0,0,0,missile hit the hideout of militants,house struck was said to be used by taliban militants,http://www.bbc.co.uk/news/world-south-asia-12571875  http://edition.cnn.com/2011/world/asiapcf/02/24/pakistan.drone.attack/?hpt=t2,70.1455,32.9746,3.325,37.985,5,2011,2011-02-24
tuesday- march 08- 2011,12:00,landi dag area- 7 km south of wana bazaar,south waziristan,fata,1,0,0,0,5,0,0,0,0.0,0,2,0,missile destroyed two rooms of the house,killed were militants,dawn news 08-mar-2011/pbc-dwn-08-mar-2011,69.9,33.0333,4.665,40.397,5,2011,2011-03-08
tuesday- march 08- 2011,,ismailkhel village,north waziristan,fata,1,0,0,0,5,0,0,0,0.0,0,2,0,missiles were fired on a house,terroristes were killed,dawn news 08-mar-2011/pbc-dwn-08-mar-2011,70.1455,32.9746,5.21,41.378,5,2011,2011-03-08
friday- march 11- 2011,,khaisor town- 30km north of miranshah,north waziristan,fata,1,0,0,0,3,0,0,0,0.0,0,0,0,missile hit the vehicle,militants were in the vehicle,http://tribune.com.pk/story/131121/drone-strike-kills-five-militants-officials/  dawn news 11-mar-2011/pbc-dwn-11-mar-2011  daily times 11-mar-2011/pbc-dty-11-mar-2011,70.1455,32.9746,9.12,48.416,3,2011,2011-03-11
friday- march 11- 2011,,khaisor town- 30km north of miranshah,north waziristan,fata,1,0,0,2,3,0,0,2,0.0,0,0,0,,missile hit the ppeople busy in rescue work after previous attack,http://tribune.com.pk/story/131121/drone-strike-kills-five-militants-officials/  dawn news 11-mar-2011/pbc-dwn-11-mar-2011  daily times 11-mar-2011/pbc-dty-11-mar-2011,70.1455,32.9746,9.12,48.416,3,2011,2011-03-11
sunday- march 13- 2011,,esha check post- spalga village- 15km northwest of miranshah,north waziristan,fata,1,0,0,4,6,0,0,4,0.0,0,5,0,missiles hit a car ,, dawn news 13-mar-2011/pbc-dwn-13-mar-2011   express tribune 13-mar-2011/pbc-ext-13-mar-2011,70.1455,32.9746,13.235,55.823,6,2011,2011-03-13
sunday- march 13- 2011,,azamwarsak-pray kari village,south waziristan,fata,1,0,0,0,0,0,0,0,0.0,0,0,0,,, dawn news 13-mar-2011/pbc-dwn-13-mar-2011   express tribune 13-mar-2011/pbc-ext-13-mar-2011,69.9,33.0333,13.28,55.904,0,2011,2011-03-13
monday- march 14- 2011,7:30,tappi village- miranshah razmak road,north waziristan,fata,1,0,0,3,5,0,0,3,0.0,0,0,0,missile hit the car,, dawn news 14-mar-2011/pbc-dwn-14-mar-2011   express tribune 14-mar-2011/pbc-ext-14-mar-2011   daily jang 14-mar-2011/pbc-djn-14-mar-2011,70.1455,32.9746,15.48,59.864,5,2011,2011-03-14
wednesday- march 16- 2011,,amboor shega area in dattakhel tehsil,north waziristan,fata,1,0,0,5,6,0,0,5,0.0,0,0,0,missile hit the facility set up at amboor shaga,, dawn news 16-mar-2011/pbc-dwn-16-mar-2011   express tribune 16-mar-2011/pbc-ext-16-mar-2011,70.1455,32.9746,15.56,60.008,6,2011,2011-03-16
thursday- march 17- 2011,,nevi adda shega area,north waziristan,fata,1,0,0,40,41,0,0,40,0.0,8,15,1,missile were fired when jirga was in progress,malik's and taliban were among dead. taliban's senior commander sharabat was leading the jirga, dawn news 17-mar-2011/pbc-dwn-17-mar-2011   express tribune 17-mar-2011/pbc-ext-17-mar-2011   daily jang 17-mar-2011/pbc-djn-17-mar-2011,70.1455,32.9746,15.38,59.684,41,2011,2011-03-17
wednesday- april 13- 2011,,near angoor adda,south waziristan,fata,1,6,0,1,6,0,0,6,0.0,2,4,0,missile was fired on a car and motorbike,only a day after a four hour meeting between the heads of isi and the central intellegence agency of the us held to reset strained ties between the two agencies,dawn news 13-apr-2011/pbc-dwn-13-apr-2011  daily jang 13-apr-2011/pbc-djn-13-apr-2011,69.9,33.0333,14.78,58.604,7,2011,2011-04-13
friday- april 22- 2011,5:45,spinam- mirali tall road- hassan khel area,north waziristan,fata,1,0,0,23,25,0,0,23,0.0,5,8,1,missile was fired on a compound,, dawn news 22-apr-2011/pbc-dwn-22-apr-2011   express tribune 22-apr-2011/pbc-ext-22-apr-2011   daily jang 22-apr-2011/pbc-djn-22-apr-2011  international herald tribune 22-apr-2011/pbc-iht-22-apr-2011,70.1455,32.9746,17.75,63.95,25,2011,2011-04-22
friday- may 06- 2011,,data khel tehsil- dowatoui area,north waziristan,fata,1,0,0,13,18,0,0,13,0.0,0,4,0,missile was fired on a compound and a restaurant nearby- whereas a car outside the restaurant was also destroyed,it was the first drone attack since us navy  seal's killed al qaeda chief usama bin ladin. the drone attack occurred hours after the strong worded ispr statement warned the us of dire consequences in case pakistan's sovereignty os violated again. , dawn news 06-may-2011/pbc-dwn-06-may-2011   express tribune 06-may-2011/pbc-ext-06-may-2011   daily jang 06-may-2011/pbc-djn-06-may-2011,70.1455,32.9746,19.87,67.766,18,2011,2011-05-06
tuesday- may 10- 2011,,angoor adda,south waziristan,fata,1,0,0,2,3,0,3,3,0.0,0,7,0,missiles were fired at a pick-up going from bagher to sra qala- near angoor adda,it was the second attack after the death of usama bin ladin,dawn news 10-may-2011/pbc-dwn-10-may-2011   daily jang 10-may-2011/pbc-djn-10-may-2011,69.9,33.0333,21.745,71.141,5,2011,2011-05-10
thursday- may 12- 2011,11:00,paikhel mazdok area- dattakhel tehsil,north waziristan,fata,1,0,0,0,8,0,0,0,0.0,0,0,0,missile was fired on a double cabin vehicle heading towards mazdek area,the attack coincided with us secretary of state hillary clinton's designation of badruddin haqqani network- as terrorist. , dawn news 12-may-2011/pbc-dwn-12-may-2011   express tribune 12-may-2011/pbc-ext-12-may-2011   daily jang 12-may-2011/pbc-djn-12-may-2011,70.1455,32.9746,21.975,71.555,8,2011,2011-05-12
friday- may 13- 2011,,kharkamar area- 40km west of miramshsh,north waziristan,fata,1,0,0,3,6,0,0,3,0.0,0,0,0,,, dawn news 13-may-2011/pbc-dwn-13-may-2011   express tribune 13-may-2011/pbc-ext-13-may-2011   daily jang 13-may-2011/pbc-djn-13-may-2011,70.1455,32.9746,20.5,68.9,6,2011,2011-05-13
monday- may 16- 2011,,khoshi torikhel area of tehsil mirali,north waziristan,fata,1,0,0,0,6,0,0,0,0.0,0,0,0,us drone fired missiles on a school,the attacks came three days after the govt had threatened to stop supplies of nato and coslition forces in afghanistan in the event of such strikes taking place in futue, dawn news 16-may-2011/pbc-dwn-16-may-2011,70.1455,32.9746,24.33,75.794,6,2011,2011-05-16
monday- may 16- 2011,,marki killey area,north waziristan,fata,1,0,0,0,4,0,0,0,0.0,0,0,0,second attcak on the same day was on a vehicle,, dawn news 16-may-2011/pbc-dwn-16-may-2011,70.1455,32.9746,24.33,75.794,4,2011,2011-05-16
friday- may 20- 2011,18:00,sarbr area- razmak miranshah road- near esha check post,north waziristan,fata,1,0,0,0,6,0,0,0,0.0,0,0,0,drone was fired on a vehicle going from miranshah to spelga village,, dawn news 20-may-2011/pbc-dwn-20-may-2011   daily jang 20-may-2011/pbc-djn-20-may-2011,70.1455,32.9746,24.59,76.262,6,2011,2011-05-20
monday- may 23- 2011,,machikhel area- near mirali,north waziristan,fata,1,0,0,0,7,0,0,0,0.0,0,0,0,four missiles hit the vehicle,, dawn news 23-may-2011/pbc-dwn-23-may-2011   express tribune 23-may-2011/pbc-ext-23-may-2011   daily jang 23-may-2011/pbc-djn-23-may-2011,70.1455,32.9746,23.49,74.282,7,2011,2011-05-23
friday- june 03- 2011,23:45,ghwakhwa area- 10km west of wana,south waziristan,fata,1,0,0,0,5,0,0,0,0.0,0,0,0,missile targeted a compound of terrorists ,military launched an operation at this place two years ago., daily times 3-jun-2011/pbc-dty-3-jun-2011   al-jazeera 3-jun-2011/pbc-ajz-3-jun-2011,69.9,33.0333,20.72,69.296,5,2011,2011-06-03
monday- june 06- 2011,,shalam raghzai 10 km northwest of wana,south waziristan,fata,1,0,0,0,0,0,0,7,0.0,0,2,0,,,http://www.dawn.com/2011/06/06/us-missile-strike-kills-6-militants-in-pakistan.html  http://tribune.com.pk/story/183348/drone-attack-in-south-waziristan-kills-7/  http://nation.com.pk/pakistan-news-newspaper-daily-english-online/politics/06-jun-2011/three-consecutive-drone-strikes-kill-23-people-in-south-waziristan,69.9,33.0333,24.755,76.559,8,2011,2011-06-06
monday- june 06- 2011,,wach dana- 12 km northwest of wana,south waziristan,fata,1,0,0,0,0,0,0,8,0.0,0,3,0,,,http://www.dawn.com/2011/06/06/us-missile-strike-kills-6-militants-in-pakistan.html  http://tribune.com.pk/story/183348/drone-attack-in-south-waziristan-kills-7/  http://nation.com.pk/pakistan-news-newspaper-daily-english-online/politics/06-jun-2011/three-consecutive-drone-strikes-kill-23-people-in-south-waziristan,69.9,33.0333,24.755,76.559,10,2011,2011-06-06
monday- june 06- 2011,,dare nishtar in shwal,south waziristan,fata,1,0,0,0,0,0,0,3,0.0,0,0,0,,,http://www.dawn.com/2011/06/06/us-missile-strike-kills-6-militants-in-pakistan.html  http://tribune.com.pk/story/183348/drone-attack-in-south-waziristan-kills-7/  http://nation.com.pk/pakistan-news-newspaper-daily-english-online/politics/06-jun-2011/three-consecutive-drone-strikes-kill-23-people-in-south-waziristan,69.9,33.0333,24.755,76.559,5,2011,2011-06-06
