Date,Time,Location,City,Province,No of Strike,Al-Qaeda,Taliban,Civilians Min,Civilians Max,Foreigners Min,Foreigners Max,Total Died Min,Total Died Mix,Injured Min,Injured Max,Women/Children,Special Mention (Site),Comments,References,Longitude,Latitude,Temperature(C),Temperature(F),Total Died Max,year,customDate
saturday- july 13- 2013,23:30,mir ali tehsil,north waziristan,fata,2,0,0,0,0,2,2,2,2.0,0,0,0,,two missiles fire on a motor bike,,70.1455,32.9746,25.04,77.072,0,2013,2013-07-13
friday- september 06- 2013,6:45,ghulam khan area,north waziristan,fata,2,3,3,0,0,3,3,6,7.0,4,4,0,drones fired two missiles on a compound in the village of dargah mand,the deceased include mullah sangeen zadran- the haqqani network commander- jordanians muhammad abu bilal al-khurrasani and abu dogana al-khairrasani- both allegedly al qaeda members- zubair- an egyptian also an alleged al qaeda member- and locals arshad dawar and ajmal dawar.,http://tribune.com.pk/story/600717/pakistan-condemns-drone-strike-in-north-waziristan/- http://www.longwarjournal.org/threat-matrix/archives/2013/09/3_al_qaeda_operatives_reported.php- http://america.aljazeera.com/articles/2013/9/6/us-drone-strike-killssixinpakistan.html- http://www.infowars.com/u-s-drone-strike-kills-six-in-pakistan/,70.1455,32.9746,23.675,74.615,0,2013,2013-09-06
sunday- september 22- 2013,12:45,shawal town of north waziristan,north waziristan,fata,4,0,0,6,7,0,0,6,7.0,2,3,0,drone fired four missiles on a compound in shawal town 55km west of miranshah,allegedly a militant compound while identities of people killed could be determined as yet,http://www.nation.com.pk/pakistan-news-newspaper-daily-english-online/national/22-sep-2013/us-drone-attack-kills-7-in-nwa- http://www.pakistantribune.com.pk/5175/drone-strike-kills-6-pakistan-make-u-s-safer.html- http://dawn.com/news/1044675/six-killed-in-us-drone-strike-in-north-waziristan,70.1455,32.9746,23.675,74.615,0,2013,2013-09-22
sunday- september 29- 2013,,dargamandi area- seven km north of miranshah,north waziristan,fata,2,0,0,3,6,0,0,3,6.0,3,3,0,drone fired two missiles on a militant compound,,http://www.arabnews.com/news/466263 http://tribune.com.pk/story/611105/drone-strike-kills-2-in-north-waziristan-2/ http://www.arabnews.com/news/466263,70.1455,32.9746,23.565,74.417,0,2013,2013-09-29
sunday- october 27- 2013,1:00,zafar town area near miramshah bazar,north waziristan,fata,1,0,0,3,3,0,0,3,3.0,3,3,0,,,http://tribune.com.pk/story/625010/fresh-drone-strike-in-north-waziristan-kills-at-least-three-people/- http://www.dawn.com/news/1052945/us-drone-strike-in-north-waziristan-leaves-three-dead,70.1455,32.9746,14.82,58.676,0,2013,2013-10-27
tuesday- october 29- 2013,1:30,dandey darpakhel area- five kilometres (three miles) north of miranshah,north waziristan,fata,1,0,5,0,0,0,0,5,5.0,2,2,0,us considers this town to be a stronghold of taliban and al qaeda militants,hakimullah mehsud- chief of the tehrik-i-taliban pakistan (ttp)- was killed in a us drone strike along with his two key commanders abdullah bahar mehsud and tariq mehsud.,- http://tribune.com.pk/story/625762/another-drone-strike-kill-3-north-waziristan/- http://dawn.com/news/1053410/drone-kills-pakistani-taliban-chief-hakimullah-mehsud,70.1455,32.9746,14.375,57.875,0,2013,2013-10-29
thursday- november 21- 2013,,tehsil tal's main tal bazaar,hangu,kpk,4,0,0,2,2,4,4,6,8.0,6,8,0,drone fired four missiles at a madrassa in hangu,tal police official sher zaman said six people were killed in the attack includes kaleemullah- abdul rehman- mufti hamidullah haqqani- maulvi ahmed jan- abdullah and gul marjan,http://tribune.com.pk/story/634776/drone-attack-in-hangu-kills-eight-injures-three/- http://www.dawn.com/news/1057599/drone-strike-in-kp-kills-six,71.06,33.53,15.42,59.756,0,2013,2013-11-21
thursday- november 28- 2013,,chashma area of miranshah,north waziristan,fata,2,0,3,0,0,0,0,3,3.0,8,8,0,drone fired tow missiles,strike comes on the eve of pakistan armys change of command ceremony where chief of army staff general ashfaq parvez kayani will hand the baton to his successor general raheel sharif,http://tribune.com.pk/story/638579/unstoppable-drone-fires-two-missiles-in-miranshah/- http://www.nation.com.pk/national/29-nov-2013/three-killed-in-us-drone-strike-in-nwa,70.1455,32.9746,10.095,50.171,0,2013,2013-11-28
saturday- december 14- 2013,,mach magai area of loe suleman,khyber agency,fata,1,0,0,6,6,0,0,0,6.0,2,4,0,drone fired on a boat in kabul river near pak-afghan border,this is the first drone strike in loe suleman area of khyber agency,http://www.nation.com.pk/national/14-dec-2013/khyber-agency-six-killed-in-us-drone-strike-in-loe-shalman- http://tribune.com.pk/story/645473/four-injured-in-drone-attack-on-kabul-river/,71.1481,34.0983,16.715,62.087,0,2013,2013-12-14
wednesday- december 25- 2013,2:00,qutub khel village- 5km  east of miranshah,north waziristan,fata,2,0,0,3,4,0,0,3,4.0,0,1,0,,,http://www.dawn.com/news/1076332/us-drone-kills-four-suspected-militants-in-north-waziristan- http://www.nation.com.pk/islamabad/26-dec-2013/four-killed-in-u-s-drone-strike-in-nw-pakistan,70.1455,32.9746,3.675,38.615,0,2013,2013-12-25
